--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE801      8      0.6250     0.8750     0.8370     0.6250    1.1726    
SITE802      9      0.4444     0.6667     -0.0800    2.0000    2.9439    
SITE807      7      0.5714     0.8571     0.4279     1.0000    1.5584    
SITE808      7      0.2857     0.5714     -0.8348    3.0000    4.1231    
SITE821      10     0.4000     0.6000     0.5156     1.5000    2.1213    
SITE831      11     0.3636     0.6364     0.4216     1.5455    2.1950    
SITE844      7      0.2857     0.5714     0.3656     1.5714    2.0354    
SITE852      14     0.2857     0.6429     -0.2757    2.2143    2.8909    
SITE871      7      0.4286     0.8571     0.4576     1.4286    2.4495    
--------------------------------------------------------------------------------------------------------------
OVERALL      3232   0.4032     0.7252     0.2249     1.6429    2.5149    
--------------------------------------------------------------------------------------------------------------
