site_id,n_total,n_train,n_val,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,val_loss,test_loss,epoch
SITE198,56,29,6,21,1,16,0.380952388048172,0.7142857313156128,-0.943539023399353,1.7619047164916992,2.7516229152679443,1.6557314991950989,2.5444583892822266,1.7999629974365234,1
SITE203,143,87,16,40,12,27,0.3499999940395355,0.824999988079071,0.5257951021194458,1.375,1.9039433002471924,1.3349342743555705,1.5588493347167969,1.5354401270548503,12
SITE205,89,50,13,26,1,16,0.23076923191547394,0.692307710647583,-0.11347687244415283,1.9615384340286255,2.6091554164886475,2.058489590883255,2.1727497577667236,2.0062090158462524,1
SITE207,46,25,6,15,15,30,0.2666666805744171,0.8666666746139526,-2.9000003337860107,1.3333333730697632,1.86189866065979,1.119249939918518,1.704951286315918,1.5946844816207886,15
SITE208,52,28,6,18,4,19,0.1666666716337204,0.6111111044883728,-1.173419713973999,3.1111111640930176,4.068851947784424,1.5894636511802673,2.2579257488250732,2.14717698097229,4
SITE209,25,16,2,7,1,16,0.2857142984867096,0.7142857313156128,-2.165217399597168,2.5714285373687744,3.854496479034424,2.163135528564453,2.067248821258545,2.124744415283203,1
SITE212,27,17,4,6,1,16,0.0,0.3333333432674408,-4.76237678527832,3.5,4.020779132843018,2.6731988191604614,2.4956936836242676,2.7215514183044434,1
SITE215,143,88,22,33,6,21,0.39393940567970276,0.6363636255264282,-0.030321121215820312,1.7575757503509521,2.5105836391448975,1.4945856928825378,1.1330573558807373,2.788378198941549,6
SITE217,60,32,8,20,1,16,0.44999998807907104,0.75,0.2932082414627075,1.2000000476837158,1.7888543605804443,2.1018331050872803,2.1146304607391357,1.5333034992218018,1
SITE219,60,36,8,16,3,18,0.25,0.625,-0.058823585510253906,2.0,2.8062429428100586,1.731821854909261,1.956205129623413,1.7818490266799927,3
SITE229,51,28,6,17,8,23,0.11764705926179886,0.7058823704719543,0.04591834545135498,2.058823585510254,2.413198947906494,1.9652596712112427,2.4185266494750977,1.9548331499099731,8
SITE230,35,23,4,8,1,16,0.5,1.0,0.9620853066444397,0.5,0.7071067690849304,1.7955471277236938,1.9849464893341064,1.4776642322540283,1
SITE231,29,21,4,4,1,16,0.25,1.0,0.3333333134651184,1.5,1.7320507764816284,2.249698758125305,2.078500747680664,1.7378026247024536,1
SITE234,41,28,4,9,29,44,0.3333333432674408,0.7777777910232544,-1.2959182262420654,1.2222222089767456,1.6666666269302368,1.1558589339256287,1.4575151205062866,1.6878151893615723,29
SITE239,56,32,8,16,1,16,0.1875,0.625,-0.5145368576049805,2.25,2.9580399990081787,2.2120249271392822,2.234952449798584,1.7965494394302368,1
SITE240,51,28,7,16,2,17,0.3125,0.6875,-0.24950361251831055,1.875,2.7156951427459717,1.8871510028839111,2.0902843475341797,1.7529970407485962,2
SITE241,103,59,15,29,5,20,0.37931033968925476,0.5862069129943848,0.12879514694213867,1.7931034564971924,2.546126127243042,1.62913978099823,1.772348165512085,2.0434072613716125,5
SITE244,42,23,7,12,1,16,0.4166666567325592,0.75,0.5700637102127075,1.25,1.9364917278289795,1.7621404528617859,2.0258727073669434,1.8666491508483887,1
SITE245,50,31,5,14,25,40,0.1428571492433548,0.5714285969734192,-0.5211071968078613,2.642857074737549,3.348773717880249,0.9493753612041473,1.5163334608078003,2.972727060317993,25
SITE251,43,21,5,17,1,16,0.11764705926179886,0.6470588445663452,-0.7399724721908569,2.2352941036224365,2.950573205947876,1.9546027183532715,2.1859569549560547,1.764599859714508,1
SITE253,129,86,15,28,1,16,0.25,0.75,0.4191073775291443,1.5357142686843872,2.0615527629852295,2.0456587076187134,1.9864193201065063,1.9943242073059082,1
SITE256,22,13,3,6,1,16,0.1666666716337204,0.6666666865348816,-0.4920635223388672,2.1666667461395264,2.798809289932251,1.9831916093826294,2.0605549812316895,2.1435019969940186,1
SITE258,43,23,6,14,3,18,0.2857142984867096,0.7142857313156128,0.018786072731018066,1.7857142686843872,2.6322178840637207,2.0003347396850586,1.81930673122406,1.8416417837142944,3
SITE259,29,20,4,5,1,16,0.4000000059604645,0.4000000059604645,-4.0,2.4000000953674316,3.2863354682922363,1.9741094708442688,1.8097877502441406,1.7714824676513672,1
SITE261,57,27,7,23,2,17,0.3478260934352875,0.6086956262588501,-0.21320271492004395,1.95652174949646,2.6946001052856445,1.7890728116035461,2.1187744140625,1.961348056793213,2
SITE262,80,45,11,24,6,21,0.375,0.7083333134651184,-0.1529707908630371,1.75,2.5166115760803223,1.5874827305475872,1.9698938131332397,2.074483096599579,6
SITE268,44,24,7,13,7,22,0.07692307978868484,0.6153846383094788,-0.638126015663147,2.769230842590332,3.464101552963257,1.4323444366455078,1.865343689918518,1.9209414720535278,7
SITE272,55,30,8,17,1,16,0.23529411852359772,0.8235294222831726,0.45844870805740356,1.2941176891326904,1.6449565887451172,1.8650391101837158,1.8071837425231934,1.88828706741333,1
SITE276,49,31,8,10,12,27,0.30000001192092896,0.800000011920929,0.020270347595214844,1.2999999523162842,1.7029386758804321,1.446274220943451,1.9458889961242676,1.62029230594635,12
SITE301,28,18,5,5,60,60,0.800000011920929,0.800000011920929,,0.800000011920929,1.7888543605804443,0.003876594128087163,0.0,0.48451995849609375,60
SITE304,22,15,3,4,8,23,0.5,0.5,-1.6666667461395264,3.0,4.242640495300293,1.294152021408081,0.6931993961334229,2.0246613025665283,8
SITE309,48,27,8,13,8,23,0.7692307829856873,0.7692307829856873,0.6388888955116272,0.9230769276618958,1.9215378761291504,1.1890794038772583,1.7235369682312012,1.1309527158737183,8
SITE310,27,16,4,7,20,35,0.4285714328289032,0.7142857313156128,-0.19072175025939941,1.5714285373687744,2.1712405681610107,1.122332215309143,1.7767819166183472,1.657395839691162,20
SITE322,36,23,5,8,4,19,0.75,0.75,0.033816397190093994,0.875,1.7677669525146484,1.0521873235702515,0.45104214549064636,1.0991060733795166,4
SITE323,36,22,5,9,5,20,0.6666666865348816,0.8888888955116272,0.7509881407022476,0.6666666865348816,1.2472190856933594,1.234273076057434,0.8008394241333008,1.3723636865615845,5
SITE324,63,39,9,15,4,19,0.46666666865348816,0.800000011920929,0.3806646466255188,1.3333333730697632,2.338090419769287,1.470961610476176,1.5344856977462769,1.604912281036377,4
SITE325,34,21,3,10,5,20,0.8999999761581421,0.8999999761581421,0.6502498388290405,0.699999988079071,2.213594436645508,1.5169991254806519,1.737229585647583,1.0429680347442627,5
SITE327,67,41,9,17,4,19,0.23529411852359772,0.47058823704719543,-1.386092185974121,3.3529412746429443,4.399198055267334,1.5622299512227376,1.605088710784912,1.1295469254255295,4
SITE330,50,29,6,15,3,18,0.3333333432674408,0.6666666865348816,-0.1255115270614624,1.8666666746139526,2.708012819290161,1.5432449579238892,1.4796302318572998,1.75887131690979,3
SITE331,28,17,4,7,2,17,0.5714285969734192,0.5714285969734192,-0.14800012111663818,1.5714285373687744,2.4201533794403076,2.1689302921295166,1.315349817276001,1.4043738842010498,2
SITE332,36,22,4,10,4,19,0.30000001192092896,0.699999988079071,-1.7624309062957764,1.7999999523162842,2.2360680103302,1.6879395246505737,0.36200112104415894,1.6489261388778687,4
SITE333,23,12,4,7,1,16,0.4285714328289032,0.7142857313156128,-0.7246377468109131,1.4285714626312256,2.203892707824707,1.662462592124939,2.9130120277404785,1.7095868587493896,1
