--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE572      8      0.3750     0.8750     0.7357     1.1250    1.5411    
SITE574      9      0.5556     0.8889     0.5091     1.1111    2.1602    
SITE575      15     0.3333     0.7333     -0.8428    2.4000    3.5214    
SITE577      9      0.5556     0.6667     -0.3261    2.2222    3.6818    
SITE578      7      0.7143     0.8571     -0.9621    1.0000    2.2991    
SITE580      6      0.5000     0.5000     -1.5000    3.1667    4.5644    
SITE581      10     0.9000     0.9000     0.5544     0.5000    1.5811    
SITE584      8      0.7500     1.0000     0.9687     0.2500    0.5000    
SITE587      8      0.6250     0.8750     0.3204     1.3750    2.6693    
SITE593      11     0.3636     0.5455     -1.0082    2.5455    3.4902    
SITE595      18     0.3333     0.6111     0.2375     1.7778    2.3805    
SITE597      8      0.7500     1.0000     0.9636     0.2500    0.5000    
SITE598      7      0.7143     0.8571     0.6759     0.5714    1.1952    
SITE601      8      0.7500     0.8750     0.9034     0.5000    1.1180    
SITE602      12     0.2500     0.7500     -0.5152    2.5000    3.6742    
SITE606      15     0.4000     0.8000     0.2448     1.6667    2.7928    
SITE607      12     0.3333     0.6667     0.3022     1.8333    2.5166    
SITE610      10     0.6000     0.8000     0.5765     1.1000    1.9748    
SITE612      14     0.3571     0.5000     -0.3514    2.2143    3.1510    
SITE616      13     0.3846     0.6923     0.3378     1.6923    2.4179    
SITE617      10     0.5000     0.9000     0.6915     1.1000    1.7029    
SITE620      17     0.3529     0.7059     0.0187     1.9412    2.9205    
SITE622      13     0.5385     0.6154     -0.2736    1.8462    2.9872    
SITE623      8      0.7500     1.0000     0.8333     0.2500    0.5000    
SITE624      9      0.2222     0.4444     -2.3094    3.3333    4.2687    
SITE626      10     0.8000     0.9000     0.8561     0.5000    1.3038    
SITE629      13     0.4615     0.6154     0.2091     1.7692    2.5869    
SITE639      11     0.2727     0.7273     0.2027     1.7273    2.5045    
SITE648      7      0.5714     0.8571     0.8388     0.8571    1.4142    
SITE658      16     0.3125     0.6875     0.4444     1.6250    2.0917    
SITE683      7      0.4286     0.8571     -0.3364    1.2857    1.7321    
SITE684      14     0.3571     0.8571     0.2646     1.6429    2.4349    
SITE692      15     0.4000     0.7333     -0.6159    2.0667    3.2558    
SITE719      16     0.5000     0.7500     0.2558     1.5000    2.3717    
SITE721      12     0.3333     0.7500     0.0526     2.0000    2.9155    
SITE722      14     0.3571     0.6429     -0.7780    2.0714    3.0119    
SITE725      9      0.2222     0.4444     -1.1622    3.3333    4.2164    
SITE734      13     0.4615     0.7692     -0.0422    1.6154    2.6747    
SITE735      17     0.2353     0.5882     -0.0268    2.1176    2.9104    
SITE739      10     0.6000     0.9000     0.7212     0.8000    1.4832    
SITE747      30     0.3333     0.7333     0.1264     1.6667    2.3664    
SITE760      33     0.8788     0.9091     -0.0358    0.4545    1.4668    
SITE786      10     0.1000     0.7000     -0.6559    3.1000    4.2308    
SITE801      8      0.5000     0.8750     0.8222     0.7500    1.2247    
SITE802      9      0.5556     1.0000     0.8615     0.6667    1.0541    
SITE807      7      0.1429     0.4286     -1.0865    2.5714    2.9761    
SITE808      7      0.5714     0.7143     0.1828     1.5714    2.7516    
SITE821      10     0.5000     0.9000     0.8278     0.8000    1.2649    
SITE831      11     0.0909     0.4545     -0.8988    3.0909    3.9772    
SITE844      7      0.5714     0.8571     0.7594     0.7143    1.2536    
SITE852      14     0.1429     0.6429     -0.1012    2.2143    2.6859    
SITE871      7      0.4286     0.7143     0.5609     1.4286    2.2039    
--------------------------------------------------------------------------------------------------------------
OVERALL      3232   0.4072     0.7256     0.1932     1.6528    2.5660    
--------------------------------------------------------------------------------------------------------------
