site_id,n_total,n_train,n_val,n_test,best_epoch,epochs_trained,accuracy,accuracy_within_2,R2,MAE_visibility,RMSE_visibility,train_loss,val_loss,test_loss,epoch
SITE207,46,25,6,15,2,17,0.2666666805744171,1.0,-0.5000001192092896,0.9333333373069763,1.154700517654419,3.9009166955947876,1.4976832866668701,2.1656360626220703,2
SITE208,52,28,6,18,2,17,0.1111111119389534,0.5,-0.07941651344299316,2.444444417953491,2.8674418926239014,3.2689722776412964,2.359837293624878,2.2737233638763428,2
SITE209,25,16,2,7,5,20,0.5714285969734192,0.5714285969734192,-0.7347825765609741,1.8571428060531616,2.853569269180298,2.6318511962890625,2.7150659561157227,2.102783679962158,5
SITE212,27,17,4,6,5,20,0.0,0.0,-9.514852523803711,5.166666507720947,5.431390285491943,2.089040994644165,2.9038944244384766,2.1809120178222656,5
SITE215,143,88,22,33,32,47,0.3636363744735718,0.6060606241226196,-0.38697075843811035,2.060606002807617,2.9128761291503906,1.4379376769065857,1.076477825641632,5.147960106531779,32
SITE217,60,32,8,20,2,17,0.20000000298023224,0.8999999761581421,-0.09331846237182617,1.4500000476837158,2.2248594760894775,3.551409363746643,2.4192893505096436,2.4024144411087036,2
SITE219,60,36,8,16,2,17,0.25,0.5,-0.008403420448303223,2.25,2.7386128902435303,3.60850199063619,2.2510900497436523,2.097489833831787,2
SITE229,51,28,6,17,19,34,0.11764705926179886,0.6470588445663452,0.02664393186569214,2.058823585510254,2.437452793121338,1.8750397562980652,1.9183359146118164,1.6107698380947113,19
SITE230,35,23,4,8,2,17,0.5,0.75,-0.23222744464874268,2.25,4.031128883361816,3.21617591381073,2.5328807830810547,2.025981903076172,2
SITE231,29,21,4,4,3,18,0.0,0.0,-8.0,6.0,6.363961219787598,2.2883297204971313,3.2743849754333496,2.6221957206726074,3
SITE234,41,28,4,9,5,20,0.2222222238779068,0.6666666865348816,-2.948979377746582,1.8888888359069824,2.1858127117156982,1.8348283767700195,1.531240701675415,1.5615968704223633,5
SITE239,56,32,8,16,2,17,0.1875,0.5625,-1.3691682815551758,2.8125,3.699662208557129,3.1966559886932373,2.4680495262145996,2.242748498916626,2
SITE240,51,28,7,16,20,35,0.4375,0.75,0.3646591901779175,1.25,1.9364917278289795,1.7431974411010742,1.3258596658706665,2.159163475036621,20
SITE241,103,59,15,29,13,28,0.3103448152542114,0.517241358757019,-0.6960690021514893,2.5517241954803467,3.552561044692993,1.9370749294757843,2.058180570602417,2.000446081161499,13
SITE244,42,23,7,12,5,20,0.0833333358168602,0.75,-0.6242038011550903,2.6666667461395264,3.7638633251190186,2.120732545852661,2.4563019275665283,2.465717315673828,5
SITE245,50,31,5,14,23,38,0.0,0.3571428656578064,-1.5480968952178955,3.7857143878936768,4.334249019622803,1.4406423568725586,1.645641565322876,3.1652672290802,23
