--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE557      19     0.2632     0.6842     -0.1116    2.1579    2.9290    
SITE561      15     0.1333     0.4667     -1.5494    3.7333    4.7889    
SITE563      10     0.3000     0.7000     -0.2941    2.3000    3.1464    
SITE564      9      0.2222     0.3333     -2.0851    4.6667    5.6765    
SITE568      7      0.2857     0.4286     -0.7711    2.5714    3.4641    
SITE569      11     0.5455     0.8182     0.2210     1.2727    2.1320    
SITE572      8      0.5000     0.6250     -0.2104    2.1250    3.2977    
SITE574      9      0.2222     0.6667     -0.0987    2.4444    3.2318    
SITE575      15     0.2000     0.6000     -0.4465    2.4000    3.1198    
SITE577      9      0.3333     0.5556     -0.3261    2.6667    3.6818    
SITE578      7      0.4286     0.8571     0.2045     1.0000    1.4639    
SITE580      6      0.3333     0.5000     -0.4800    2.6667    3.5119    
SITE581      10     0.5000     0.6000     -0.0695    1.6000    2.4495    
SITE584      8      0.5000     0.6250     -0.6751    2.1250    3.6572    
SITE587      8      0.7500     0.8750     0.7615     0.7500    1.5811    
SITE593      11     0.3636     0.7273     -0.3488    2.0000    2.8604    
SITE595      18     0.2778     0.4444     -0.5997    2.6667    3.4480    
SITE597      8      0.2500     0.5000     -0.0023    2.1250    2.6220    
SITE598      7      0.2857     0.5714     -1.0417    2.1429    3.0000    
SITE601      8      0.6250     0.7500     0.4879     1.3750    2.5739    
SITE602      12     0.3333     0.7500     -0.2253    2.0833    3.3040    
SITE606      15     0.2667     0.6000     -0.9105    3.0667    4.4422    
SITE607      12     0.2500     0.5000     -0.9373    3.0833    4.1932    
SITE610      10     0.2000     0.5000     -0.1292    2.6000    3.2249    
SITE612      14     0.2857     0.3571     -1.4694    3.2857    4.2594    
SITE616      13     0.2308     0.9231     0.7038     1.2308    1.6172    
SITE617      10     0.5000     0.7000     0.1277     1.8000    2.8636    
SITE620      17     0.4118     0.5882     -0.4686    2.4118    3.5728    
SITE622      13     0.2308     0.6154     -0.0211    2.0769    2.6747    
SITE623      8      0.2500     1.0000     0.0000     1.0000    1.2247    
SITE624      9      0.2222     0.5556     -1.4013    2.7778    3.6362    
SITE626      10     0.7000     0.9000     0.6528     0.9000    2.0248    
SITE629      13     0.2308     0.6154     -0.1182    2.3846    3.0760    
SITE639      11     0.1818     0.2727     -2.4202    4.3636    5.1874    
SITE648      7      0.2857     0.4286     -1.3832    4.1429    5.4380    
SITE658      16     0.1250     0.5000     0.1429     2.2500    2.5981    
SITE683      7      0.4286     0.7143     -1.1000    1.5714    2.1712    
SITE684      14     0.3571     0.6429     -0.5063    2.4286    3.4847    
SITE692      15     0.2000     0.3333     -1.1951    3.2000    3.7947    
SITE719      16     0.2500     0.6875     -0.1163    2.1875    2.9047    
SITE721      12     0.1667     0.7500     -0.0031    2.3333    3.0000    
SITE722      14     0.2857     0.7143     -0.0360    1.7143    2.2991    
SITE725      9      0.3333     0.5556     -0.8784    2.7778    3.9299    
SITE734      13     0.3077     0.6923     -0.3112    2.0769    3.0000    
SITE735      17     0.1765     0.4706     -0.7399    2.9412    3.7885    
SITE739      10     0.2000     0.5000     -0.0013    2.3000    2.8107    
SITE747      30     0.2000     0.6000     -0.4509    2.3000    3.0496    
SITE760      33     0.8788     0.9091     -0.0358    0.4545    1.4668    
SITE786      10     0.3000     0.8000     -0.0268    2.1000    3.3317    
SITE801      8      0.3750     0.6250     -0.6000    2.2500    3.6742    
SITE802      9      0.3333     0.7778     -0.3154    2.1111    3.2489    
SITE807      7      0.2857     0.5714     -1.3894    2.4286    3.1848    
SITE808      7      0.2857     0.4286     -1.6057    3.8571    4.9135    
SITE821      10     0.3000     0.3000     -0.9376    3.4000    4.2426    
SITE831      11     0.1818     0.2727     -2.0992    4.1818    5.0812    
SITE844      7      0.5714     0.8571     0.7594     0.7143    1.2536    
SITE852      14     0.3571     0.6429     0.0841     1.7143    2.4495    
SITE871      7      0.4286     0.5714     0.3026     2.0000    2.7775    
--------------------------------------------------------------------------------------------------------------
OVERALL      3232   0.3332     0.6300     -0.2586    2.2045    3.2048    
--------------------------------------------------------------------------------------------------------------
