--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE747      30     0.1333     0.5667     -0.5601    2.4667    3.1623    
SITE760      33     0.8788     0.9091     -0.0358    0.4545    1.4668    
SITE786      10     0.3000     0.8000     0.1027     1.9000    3.1145    
SITE801      8      0.1250     0.7500     -0.1556    2.0000    3.1225    
SITE802      9      0.3333     0.6667     -0.8138    2.5556    3.8152    
SITE807      7      0.2857     0.4286     -1.6587    2.7143    3.3594    
SITE808      7      0.2857     0.7143     -0.6806    2.7143    3.9461    
SITE821      10     0.3000     0.5000     -0.8945    3.0000    4.1952    
SITE831      11     0.0909     0.3636     -1.1498    3.5455    4.2319    
SITE844      7      0.5714     0.8571     0.7594     0.7143    1.2536    
SITE852      14     0.1429     0.5714     -1.2461    3.0000    3.8359    
SITE871      7      0.2857     0.4286     -1.2472    3.7143    4.9857    
--------------------------------------------------------------------------------------------------------------
OVERALL      3232   0.2964     0.6033     -0.2600    2.2800    3.2065    
--------------------------------------------------------------------------------------------------------------
