--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE569      11     0.5455     0.8182     0.6261     0.9091    1.4771    
SITE572      8      0.6250     1.0000     0.9165     0.5000    0.8660    
SITE574      9      0.4444     0.7778     0.2519     1.5556    2.6667    
SITE575      15     0.4667     0.6000     -0.9022    2.4000    3.5777    
SITE577      9      0.5556     0.7778     0.4891     1.2222    2.2852    
SITE578      7      0.5714     0.8571     0.0985     1.0000    1.5584    
SITE580      6      0.3333     0.6667     -0.5600    2.3333    3.6056    
SITE581      10     0.8000     1.0000     0.9643     0.2000    0.4472    
SITE584      8      0.7500     1.0000     0.9217     0.3750    0.7906    
SITE587      8      0.8750     0.8750     0.8092     0.5000    1.4142    
SITE593      11     0.7273     0.8182     0.0708     1.0909    2.3741    
SITE595      18     0.3889     0.6111     -0.0316    1.8889    2.7689    
SITE597      8      0.6250     0.8750     0.6720     0.7500    1.5000    
SITE598      7      0.2857     0.8571     0.4815     1.1429    1.5119    
SITE601      8      0.7500     1.0000     0.9807     0.2500    0.5000    
SITE602      12     0.3333     0.7500     -0.0008    1.9167    2.9861    
SITE606      15     0.6000     0.8000     0.3094     1.4000    2.6708    
SITE607      12     0.4167     0.6667     0.2379     1.7500    2.6300    
SITE610      10     0.5000     0.9000     0.7611     1.0000    1.4832    
SITE612      14     0.3571     0.5000     -0.1569    2.0714    2.9155    
SITE616      13     0.5385     0.9231     0.8519     0.6923    1.1435    
SITE617      10     0.5000     0.9000     0.7553     0.9000    1.5166    
SITE620      17     0.4706     0.7059     0.3774     1.5294    2.3263    
SITE622      13     0.3846     0.6923     0.3412     1.5385    2.1483    
SITE623      8      0.3750     1.0000     0.5833     0.6250    0.7906    
SITE624      9      0.4444     0.7778     -0.1502    1.6667    2.5166    
SITE626      10     0.7000     0.9000     0.8476     0.6000    1.3416    
SITE629      13     0.5385     0.6154     0.3455     1.5385    2.3534    
SITE639      11     0.4545     0.9091     0.7227     0.9091    1.4771    
SITE648      7      0.5714     0.8571     0.8388     0.8571    1.4142    
SITE658      16     0.1875     0.6250     0.4683     1.6875    2.0463    
SITE683      7      0.4286     1.0000     0.1727     1.0000    1.3628    
SITE684      14     0.5000     0.8571     0.5747     1.1429    1.8516    
