--------------------------------------------------------------------------------------------------------------
Site         N      Accuracy   +-2 Acc    R2         MAE(mi)    RMSE(mi)  
SITE577      9      0.5556     0.5556     -0.1957    2.2222    3.4960    
SITE578      7      0.4286     0.7143     -0.3788    1.4286    1.9272    
SITE580      6      0.3333     0.5000     -0.4800    2.6667    3.5119    
SITE581      10     0.4000     0.6000     -0.3012    1.9000    2.7019    
SITE584      8      0.3750     0.5000     -0.8630    2.6250    3.8568    
SITE587      8      0.2500     0.6250     -0.4188    2.8750    3.8568    
SITE593      11     0.3636     0.7273     -0.3488    2.0000    2.8604    
SITE595      18     0.3333     0.6111     0.0880     1.8889    2.6034    
SITE597      8      0.3750     0.5000     -1.0228    2.6250    3.7249    
SITE598      7      0.2857     0.5714     -1.0417    2.1429    3.0000    
SITE601      8      0.6250     0.7500     0.4879     1.3750    2.5739    
SITE602      12     0.3333     0.7500     -0.2253    2.0833    3.3040    
SITE606      15     0.2667     0.5333     -0.9299    3.1333    4.4647    
SITE607      12     0.4167     0.6667     -0.3497    2.2500    3.5000    
SITE610      10     0.3000     0.8000     0.4788     1.6000    2.1909    
SITE612      14     0.4286     0.6429     -0.4583    2.0000    3.2733    
SITE616      13     0.3846     0.7692     0.0328     1.9231    2.9221    
SITE617      10     0.4000     0.6000     0.0638     2.0000    2.9665    
SITE620      17     0.3529     0.5882     -0.8949    2.7059    4.0584    
SITE622      13     0.3077     0.3846     -1.2069    3.0000    3.9321    
SITE623      8      0.2500     0.8750     -0.6667    1.2500    1.5811    
SITE624      9      0.2222     0.7778     -0.1099    1.8889    2.4721    
SITE626      10     0.4000     0.7000     -0.8628    3.0000    4.6904    
SITE629      13     0.2308     0.6154     -0.7000    2.8462    3.7927    
SITE639      11     0.1818     0.5455     -1.6460    3.3636    4.5627    
SITE648      7      0.2857     0.4286     -1.3832    4.1429    5.4380    
SITE658      16     0.3125     0.6250     0.3492     1.7500    2.2638    
SITE683      7      0.5714     0.8571     0.1091     0.8571    1.4142    
SITE684      14     0.3571     0.5714     -0.9316    2.7143    3.9461    
SITE692      15     0.2000     0.3333     -1.1951    3.2000    3.7947    
SITE719      16     0.2500     0.6875     -0.1163    2.1875    2.9047    
SITE721      12     0.0000     0.7500     0.1455     2.5000    2.7689    
SITE722      14     0.3571     0.7143     -0.1760    1.7143    2.4495    
SITE725      9      0.1111     0.3333     -1.8243    4.1111    4.8189    
SITE734      13     0.2308     0.5385     -1.4319    3.0000    4.0856    
SITE735      17     0.2941     0.6471     -0.0126    2.1176    2.8901    
SITE739      10     0.2000     0.5000     -0.0013    2.3000    2.8107    
SITE747      30     0.2333     0.7000     -0.0348    1.9000    2.5755    
SITE760      33     0.8788     0.9091     -0.0358    0.4545    1.4668    
SITE786      10     0.2000     0.2000     -3.0056    5.7000    6.5803    
SITE801      8      0.2500     0.7500     -0.1852    2.0000    3.1623    
SITE802      9      0.3333     0.6667     -0.8138    2.5556    3.8152    
SITE807      7      0.2857     0.5714     -1.3894    2.4286    3.1848    
SITE808      7      0.4286     0.7143     0.1211     1.8571    2.8536    
SITE821      10     0.3000     0.3000     -1.6372    3.9000    4.9497    
SITE831      11     0.4545     0.7273     0.0615     1.8182    2.7961    
SITE844      7      0.4286     0.7143     -0.0281    1.5714    2.5912    
SITE852      14     0.2857     0.6429     -1.0935    2.5714    3.7033    
SITE871      7      0.4286     0.7143     0.0959     2.0000    3.1623    
--------------------------------------------------------------------------------------------------------------
OVERALL      3232   0.3357     0.6216     -0.3406    2.2713    3.3075    
--------------------------------------------------------------------------------------------------------------
